"EstablishmentID","InspectionID","Ins_TypeDesc","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","InspectionDate","score","Grade","NameSearch","Intersection"
"87706","1639272","REGULAR","SPINELLI'S","","4005 SHELBYVILLE RD","","LOUISVILLE","KY","40207","FOOD SERVICE","2021-12-01 00:00:00","94","A","SPINELLI'S",""
"91679","1639276","REGULAR","SUPER USA #5","","5901 NEW CUT RD","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-12-01 00:00:00","94","","SUPER USA #5",""
"114052","1639281","REGULAR","MARKET ZONE","","118 S 26TH ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-12-01 00:00:00","98","","MARKET ZONE",""
"86171","1639292","REGULAR","WEST END TOKEN CLUB","","708 S 16TH ST","","LOUISVILLE","KY","40210","FOOD SERVICE","2021-12-01 00:00:00","92","A","WEST END TOKEN CLUB",""
"82249","1642737","REGULAR","SELENA'S AT WILLOW LAKE TAVERN","","10609 LAGRANGE RD","","LOUISVILLE","KY","40223","FOOD SERVICE","2021-12-16 00:00:00","96","A","SELENA'S AT WILLOW LAKE TAVERN",""
"36820","1642764","REGULAR","IRISH ROVER CLUB","","2319 FRANKFORT AVE","","LOUISVILLE","KY","40206","FOOD SERVICE","2021-12-16 00:00:00","98","A","IRISH ROVER CLUB",""
"96872","1642781","REGULAR","PLEASE & THANK YOU BAKERY","","231 N 17TH ST","","LOUISVILLE","KY","40203","FOOD SERVICE","2021-12-16 00:00:00","100","A","PLEASE & THANK YOU BAKERY",""
"90708","1642784","REGULAR","SUBWAY","","2716 W BROADWAY","","LOUISVILLE","KY","40211","FOOD SERVICE","2021-12-16 00:00:00","97","A","SUBWAY",""
"90888","1642796","REGULAR","STARBUCKS  #16953","","1831 BLANKENBAKER PKWY","","LOUISVILLE","KY","40299","FOOD SERVICE","2021-12-15 00:00:00","99","A","STARBUCKS  #16953",""
"34455","1642798","REGULAR","CAPTAIN D'S #3615","","5232 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","2021-12-16 00:00:00","96","A","CAPTAIN D'S #3615",""
"114178","1642806","OTHER","TEN20 CRAFT BREWERY","","11505 PARK RD","","LOUISVILLE","KY","40223","FOOD SERVICE","2021-12-07 00:00:00","99","","TEN20 CRAFT BREWERY",""
"114181","1642813","OTHER","BRUNCH & SOUL STREET FOOD","","1812 W MUHAMMAD ALI BLVD","","LOUISVILLE","KY","40203","FOOD SERVICE","2021-12-08 00:00:00","100","","BRUNCH & SOUL STREET FOOD",""
